
static timeTest optimisation level: 0
START: real: 0.0005480000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005620000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005640000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005690000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005710000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005720000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005740000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005760000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005770000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005790000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005800000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005820000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005830000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005850000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005860000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005880000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005890000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005900000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005920000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005930000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005950000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005960000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005980000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0005990000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006010000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006020000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006030000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006050000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006060000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006080000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006090000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006100000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006120000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006130000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006150000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006160000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006180000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006190000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006210000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006220000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006240000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006250000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006270000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006280000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006300000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006310000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006330000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006340000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006360000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006370000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006390000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006400000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006420000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006430000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006440000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006460000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006470000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006490000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006500000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006520000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006530000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006550000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006560000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006580000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006680000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006700000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006710000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006760000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006790000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006800000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006820000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006840000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006850000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006870000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006890000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006910000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006930000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006940000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006960000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006970000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0006990000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007010000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007020000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007040000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007060000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007070000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007090000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007100000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007120000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007130000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007150000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007160000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007170000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007190000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007210000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007220000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007240000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007250000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007270000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007280000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007300000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007320000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007330000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007350000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007360000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007370000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007400000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007410000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007430000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007440000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007460000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007470000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007490000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007510000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007530000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007540000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007560000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007570000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007590000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007600000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007620000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007630000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007650000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007670000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007680000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007700000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007720000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007820000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007830000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007850000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007860000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007900000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007910000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007930000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007940000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007960000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007970000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0007990000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0008010000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0008020000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0008040000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0008050000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0008070000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0008080000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0008100000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0008120000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0008130000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0008140000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0008160000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0008180000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0008190000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0008210000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0008230000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0008250000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0008270000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0008280000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0008300000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0008310000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0008330000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0008340000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0008360000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0008380000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0008400000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0008420000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0008440000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0008460000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0008470000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0008490000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0008510000, user: 0.0000000000, sys: 0.0000000000
START: real: 0.0008520000, user: 0.0000000000, sys: 0.0000000000
